UserID,UserName,Age,Gender,Email,TotalCourses,TotalSpending,AverageSpending,AverageCourseRating,PreferredCategory,PreferredLevel,DiversityScore,EnrollmentFrequency,LearningDepthIndex,Cluster
U00028,zgomez,30,0,rwhitaker@outlook.com,12,1012.66,84.38833333333334,3.015,6,1,9,12,0.6666666666666666,3
U00029,hartmanjon,30,1,nicole88@gmail.com,1,326.02,326.02,2.69,1,2,1,1,0.0,2
U00030,david76,34,1,robert64@outlook.com,1,0.0,0.0,3.45,10,2,1,1,0.0,0
U00031,lovedavid,30,1,fbooth@yahoo.com,1,0.0,0.0,2.2,11,1,1,1,0.0,0
U00032,veronica83,18,1,andrea24@yahoo.com,1,285.05,285.05,1.96,1,1,1,1,0.0,2
U00033,rodrigueznatalie,25,1,linda50@gmail.com,1,276.37,276.37,2.72,4,0,1,1,1.0,1
U00034,ilopez,32,0,scottwatts@yahoo.com,2,248.1,124.05,2.67,0,1,2,2,0.0,2
U00035,chernandez,32,1,bryangilbert@yahoo.com,1,0.78,0.78,3.89,7,0,1,1,1.0,1
U00036,coxmichael,24,0,leonardkimberly@hotmail.com,1,0.0,0.0,3.85,9,1,1,1,0.0,0
U00037,lisabraun,31,0,ericbrown@hotmail.com,2,0.0,0.0,1.985,2,0,2,2,2.0,1
U00038,williamselizabeth,35,1,kpham@gmail.com,1,0.0,0.0,3.93,2,2,1,1,0.0,0
U00039,blackdanielle,16,0,michaelfrederick@yahoo.com,1,346.71,346.71,1.23,10,0,1,1,1.0,1
U00040,briannamurphy,15,1,ohobbs@gmail.com,1,0.0,0.0,3.85,9,1,1,1,0.0,0
U00041,april65,19,0,imccarthy@yahoo.com,2,326.02,163.01,3.5650000000000004,1,1,2,2,0.0,2
U00042,christopher62,32,1,patrickterrance@outlook.com,1,89.59,89.59,2.68,0,2,1,1,0.0,0
U00043,tommy21,31,1,gordonhenry@hotmail.com,1,327.99,327.99,1.51,10,1,1,1,0.0,2
U00044,rileyapril,19,1,wagnermichael@hotmail.com,1,299.57,299.57,3.74,3,1,1,1,0.0,2
U00045,rodneystevens,23,0,mitchellwilliam@yahoo.com,14,1209.79,86.41357142857143,3.375,10,1,9,14,0.4285714285714285,3
U00046,usimpson,29,0,hmarquez@hotmail.com,2,0.0,0.0,1.325,4,0,2,2,0.5,1
U00047,westbrian,34,1,lclark@outlook.com,1,0.0,0.0,3.6,3,2,1,1,0.0,0
U00048,willie71,19,1,zgarza@hotmail.com,13,356.89,27.45307692307692,3.329230769230769,4,1,9,13,0.5714285714285714,3
U00049,nclark,32,1,thomaskenneth@gmail.com,1,0.0,0.0,3.45,10,2,1,1,0.0,0
U00050,rewing,33,1,syoung@gmail.com,1,0.0,0.0,2.61,4,0,1,1,1.0,1
U00051,crystal12,32,0,bonnie35@gmail.com,1,0.0,0.0,4.51,4,1,1,1,0.0,0
U00052,daniel48,25,0,tweber@gmail.com,1,0.78,0.78,3.89,7,0,1,1,1.0,1
U00053,tara07,34,0,bergertimothy@hotmail.com,1,53.86,53.86,2.47,6,1,1,1,0.0,0
U00054,jessicaparker,22,0,rosslindsey@hotmail.com,1,490.9,490.9,4.55,0,1,1,1,0.0,2
U00055,hallandrea,31,0,michelle73@gmail.com,16,1448.25,90.515625,3.055625,4,0,9,16,2.25,3
U00056,vcrawford,22,0,markfinley@gmail.com,2,0.0,0.0,2.745,4,0,2,2,0.5,1
U00057,thomasrobin,18,1,cedwards@yahoo.com,1,487.92,487.92,3.64,1,0,1,1,1.0,2
U00058,egomez,30,0,jimmymurphy@outlook.com,1,117.68,117.68,2.57,3,0,1,1,1.0,1
U00059,elizabeth16,32,1,andersonmadison@gmail.com,1,0.0,0.0,4.51,4,1,1,1,0.0,0
U00060,albert28,26,1,stephanie43@yahoo.com,4,53.86,13.465,3.515,6,1,3,4,0.0,0
U00061,vincent12,32,0,yscott@outlook.com,1,0.0,0.0,1.91,2,2,1,1,0.0,0
U00062,howenathaniel,28,0,tbrown@yahoo.com,1,0.0,0.0,3.85,9,1,1,1,0.0,0
U00063,lisawong,34,0,denise33@outlook.com,2,299.57,149.785,3.31,3,1,2,2,0.0,2
U00064,donnabarker,33,0,gellis@yahoo.com,1,276.37,276.37,2.72,4,0,1,1,1.0,1
U00065,michaelcurtis,29,1,brownrobert@hotmail.com,1,0.0,0.0,2.67,11,0,1,1,1.0,1
U00066,wwest,26,0,gomezkatherine@gmail.com,1,327.99,327.99,1.51,10,1,1,1,0.0,2
U00067,jessica24,28,0,gardnerjohnny@hotmail.com,1,119.04,119.04,2.75,6,2,1,1,0.0,0
U00068,marshmichelle,32,1,mcoleman@outlook.com,1,0.0,0.0,3.45,10,2,1,1,0.0,0
U00069,gainesandrew,27,0,woodashley@outlook.com,2,0.0,0.0,3.67,4,0,2,2,1.0,1
U00070,mgonzales,25,0,vwang@gmail.com,2,0.0,0.0,4.69,5,2,2,2,0.0,0
U00071,kevin94,30,0,gonzalezchristine@hotmail.com,14,641.94,45.85285714285715,2.777857142857143,9,1,8,14,0.5,3
U00072,hallanthony,17,0,sharon51@hotmail.com,1,326.02,326.02,2.69,1,2,1,1,0.0,2
U00073,katie83,16,1,lydia56@gmail.com,1,0.78,0.78,3.89,7,0,1,1,1.0,1
U00074,nunezapril,19,1,hancocksteven@hotmail.com,3,963.18,321.06,3.523333333333333,9,1,2,3,0.0,2
U00075,hfarley,22,1,torresshawn@hotmail.com,1,0.0,0.0,4.45,4,0,1,1,1.0,1
U00076,justinwatkins,34,1,amyanderson@hotmail.com,4,472.28,118.07,3.095,1,1,4,4,0.25,2
U00077,shannon49,20,1,shane75@yahoo.com,1,0.0,0.0,4.11,8,2,1,1,0.0,0
U00078,ahouston,32,0,ashleywalker@outlook.com,1,0.0,0.0,4.11,8,2,1,1,0.0,0
U00079,aburke,28,1,stoutdylan@outlook.com,1,0.0,0.0,4.94,2,1,1,1,0.0,0
U00080,mortonandrew,35,0,cindycox@yahoo.com,1,0.0,0.0,2.88,9,1,1,1,0.0,0
U00081,smithdanny,18,0,martinrhonda@yahoo.com,1,0.0,0.0,1.52,4,0,1,1,1.0,1
U00082,susankidd,31,1,jasonhicks@yahoo.com,1,0.0,0.0,4.68,10,1,1,1,0.0,0
U00083,james92,16,1,kconrad@gmail.com,15,1661.3,110.75333333333332,2.9953333333333334,0,2,9,15,0.8,3
U00084,xperez,20,1,ericafrank@yahoo.com,1,327.99,327.99,1.51,10,1,1,1,0.0,2
U00085,scottluna,22,0,adam86@yahoo.com,13,1149.12,88.39384615384614,2.9084615384615384,2,1,7,13,0.375,3
U00086,nicole62,27,0,anewton@yahoo.com,4,53.86,13.465,2.47,1,0,4,4,1.0,1
U00087,sjoseph,19,0,jacqueline74@yahoo.com,3,0.0,0.0,4.506666666666667,7,2,3,3,0.0,0
U00088,tgarcia,23,1,debrawilson@yahoo.com,1,0.0,0.0,3.64,0,1,1,1,0.0,0
U00089,austinspears,30,1,browningjennifer@hotmail.com,1,0.0,0.0,4.73,7,2,1,1,0.0,0
U00090,sethchavez,34,1,teresa45@outlook.com,1,0.0,0.0,3.45,10,2,1,1,0.0,0
U00091,joseph88,35,1,owenspatricia@gmail.com,1,0.0,0.0,4.14,6,1,1,1,0.0,0
U00092,carl44,31,1,sabrina47@yahoo.com,4,594.81,148.7025,2.7175,0,0,4,4,0.6666666666666666,1
U00093,sextonelizabeth,16,1,thomas52@gmail.com,1,285.05,285.05,1.96,1,1,1,1,0.0,2
U00094,qtaylor,27,1,vasquezdavid@yahoo.com,1,299.57,299.57,3.74,3,1,1,1,0.0,2
U00095,ojohnson,20,1,chloe04@yahoo.com,1,248.1,248.1,1.2,0,1,1,1,0.0,2
U00096,wesley99,34,0,xdavis@hotmail.com,4,0.0,0.0,2.58,7,1,3,4,0.0,0
U00097,donnawilliams,25,1,guzmanchristine@gmail.com,2,0.0,0.0,2.095,2,0,2,2,2.0,1
U00098,sarah43,31,1,natasha16@yahoo.com,1,0.0,0.0,4.45,4,0,1,1,1.0,1
U00099,wharrison,29,0,robertsshawn@yahoo.com,1,299.57,299.57,3.74,3,1,1,1,0.0,2
U00100,swallace,32,0,douglascampbell@outlook.com,1,0.0,0.0,2.14,5,1,1,1,0.0,0
U00101,rosejames,15,0,wilcoxrita@yahoo.com,1,89.59,89.59,2.68,0,2,1,1,0.0,0
U00102,vweiss,32,1,cherylking@yahoo.com,1,299.57,299.57,3.74,3,1,1,1,0.0,2
U00103,felicia29,30,0,ssims@hotmail.com,1,0.0,0.0,2.0,1,0,1,1,1.0,1
U00104,diazsara,19,1,mosschad@yahoo.com,1,53.86,53.86,2.47,6,1,1,1,0.0,0
U00105,smithjacqueline,27,1,robinfranklin@outlook.com,1,299.57,299.57,3.74,3,1,1,1,0.0,2
U00106,sharonmurphy,19,1,cathy60@yahoo.com,2,57.32,28.66,3.4400000000000004,5,0,2,2,0.5,1
U00107,hayley84,18,0,wwood@hotmail.com,1,0.0,0.0,3.85,9,1,1,1,0.0,0
U00108,jowen,32,1,jasonjordan@yahoo.com,2,0.0,0.0,2.965,4,0,2,2,0.5,1
U00109,amyschmidt,15,0,alicia06@yahoo.com,14,869.77,62.12642857142857,3.157857142857143,3,1,10,14,0.3333333333333333,3
U00110,thorntondaniel,26,0,kellywilson@hotmail.com,1,487.92,487.92,3.64,1,0,1,1,1.0,2
U00111,cynthia90,24,1,kayla61@outlook.com,1,0.0,0.0,2.14,5,1,1,1,0.0,0
U00112,williamswilliam,34,0,qmiller@yahoo.com,14,565.8,40.41428571428571,3.165714285714286,3,0,9,14,0.8333333333333334,3
U00113,becky55,19,1,lclark@hotmail.com,1,346.71,346.71,1.23,10,0,1,1,1.0,1
U00114,lvasquez,22,0,markwilliams@hotmail.com,1,0.0,0.0,2.38,2,0,1,1,1.0,1
U00115,mitchellswanson,32,0,danielmathews@hotmail.com,1,0.0,0.0,1.73,7,2,1,1,0.0,0
U00116,schultzaustin,31,1,psmith@outlook.com,1,0.0,0.0,1.52,4,0,1,1,1.0,1
U00117,kristin26,19,0,megan10@gmail.com,13,1885.87,145.06692307692308,3.373076923076923,2,1,9,13,0.5,3
U00118,morankevin,28,0,marquezwilliam@hotmail.com,1,0.0,0.0,2.0,1,0,1,1,1.0,1
U00119,phillipsrobert,28,1,wlee@yahoo.com,1,57.32,57.32,4.74,11,0,1,1,1.0,1
U00120,faguilar,15,1,ashley54@gmail.com,2,415.51,207.755,3.215,0,1,2,2,0.0,2
U00121,htanner,27,0,donaldbrennan@hotmail.com,2,328.77,164.385,2.7,7,0,2,2,0.5,1
U00122,derekgreer,21,0,elizabeth42@gmail.com,2,0.0,0.0,2.895,5,1,2,2,0.0,0
U00123,richardsonjames,18,0,dillonleslie@outlook.com,2,356.89,178.445,4.24,3,0,2,2,0.5,1
U00124,christinagilbert,19,0,brendanaustin@yahoo.com,2,460.49,230.245,2.175,0,0,2,2,0.5,2
U00125,michelle70,35,0,simsbruce@yahoo.com,2,326.02,163.01,2.25,1,0,2,2,1.0,1
U00126,zhall,23,0,juliecervantes@yahoo.com,14,1084.57,77.4692857142857,3.457142857142857,5,1,7,14,0.5,3
U00127,brian60,34,0,annablair@hotmail.com,3,903.43,301.1433333333334,3.846666666666667,0,0,3,3,2.0,1
U00128,misty15,35,0,thomasharris@yahoo.com,13,1813.65,139.51153846153846,3.106923076923077,0,1,8,13,0.6666666666666666,3
U00129,sabrinawilson,19,1,alvaradokevin@gmail.com,2,415.51,207.755,3.885,0,2,2,2,0.0,2
U00130,eherring,17,1,joshua83@yahoo.com,1,248.1,248.1,1.2,0,1,1,1,0.0,2
U00131,chelsea48,19,1,stephaniedougherty@gmail.com,1,0.0,0.0,3.15,1,0,1,1,1.0,1
U00132,kathysharp,22,1,sean85@yahoo.com,1,0.0,0.0,1.13,7,1,1,1,0.0,0
U00133,mccarthyscott,21,1,raymondthomas@gmail.com,14,828.33,59.166428571428575,2.830714285714286,8,1,9,14,0.7142857142857143,3
U00134,syoung,26,0,kroy@gmail.com,14,1438.21,102.72928571428572,3.3528571428571428,6,0,8,14,1.2,3
U00135,josephmichael,17,0,clarknicholas@gmail.com,1,0.0,0.0,3.02,3,2,1,1,0.0,0
U00136,millerleslie,25,0,william31@gmail.com,1,0.0,0.0,3.15,1,0,1,1,1.0,1
U00137,lawrencesanchez,15,0,donaldtaylor@outlook.com,2,460.29,230.145,3.705,3,0,2,2,1.0,1
U00138,sarafuentes,26,1,ugonzales@gmail.com,2,0.0,0.0,1.87,4,0,2,2,0.5,1
U00139,qharrell,16,0,daniel87@yahoo.com,4,248.1,62.025,1.8275,0,0,4,4,0.6666666666666666,1
U00140,william81,24,0,ewalker@hotmail.com,2,53.86,26.93,3.5650000000000004,5,1,2,2,0.0,0
U00141,jenkinswilliam,20,1,nicolerodriguez@gmail.com,1,0.0,0.0,2.88,9,1,1,1,0.0,0
U00142,brian08,17,0,stephenhenry@gmail.com,1,472.28,472.28,4.74,9,1,1,1,0.0,2
U00143,sherri37,26,1,lopezbrian@outlook.com,2,177.34,88.67,4.415,2,0,2,2,0.5,1
U00144,rodgerspaul,24,0,amy66@hotmail.com,13,953.67,73.35923076923076,3.173076923076923,6,2,7,13,1.6666666666666667,3
U00145,shawnbrown,23,0,amandasingh@yahoo.com,1,0.0,0.0,4.94,2,1,1,1,0.0,0
U00146,ihernandez,30,0,rgarcia@outlook.com,1,0.0,0.0,4.44,5,1,1,1,0.0,0
U00147,patricklaura,30,1,barbarapatterson@yahoo.com,12,1195.68,99.64,3.0775,3,1,9,12,0.5,3
U00148,andersenmichael,35,0,rsmith@outlook.com,1,0.0,0.0,3.02,3,2,1,1,0.0,0
U00149,jacksonanthony,17,0,yspencer@gmail.com,10,906.41,90.641,3.303,0,0,8,10,1.0,3
U00150,nsmith,25,1,zjefferson@gmail.com,2,0.0,0.0,3.245,2,0,2,2,1.0,1
U00151,johnjohnson,16,0,heathrodney@hotmail.com,1,0.0,0.0,4.44,5,1,1,1,0.0,0
U00152,hhill,19,0,keith03@outlook.com,12,1368.9199999999998,114.07666666666664,3.296666666666667,2,1,9,12,0.2857142857142857,3
U00153,scottgilbert,35,1,sextondillon@yahoo.com,2,37.89,18.945,2.575,9,0,2,2,0.5,1
U00154,jessicabailey,29,1,colleen99@outlook.com,1,248.1,248.1,1.2,0,1,1,1,0.0,2
U00155,browningstephanie,27,1,cindy51@gmail.com,2,0.0,0.0,3.71,6,1,2,2,0.0,0
U00156,phill,17,1,natalie68@outlook.com,1,0.0,0.0,1.59,6,0,1,1,1.0,1
U00157,derek60,32,0,dhall@hotmail.com,2,212.39,106.195,2.53,2,0,2,2,1.0,1
U00158,nicholas56,35,0,lisa06@yahoo.com,1,0.0,0.0,1.28,9,1,1,1,0.0,0
U00159,rodriguezraymond,16,1,richardsonwilliam@yahoo.com,2,53.86,26.93,2.1,6,1,2,2,0.0,0
U00160,kingspencer,28,0,gillvalerie@yahoo.com,1,327.99,327.99,1.51,10,1,1,1,0.0,2
U00161,lawrence17,25,0,tstone@outlook.com,11,605.6,55.054545454545455,2.8972727272727274,1,0,7,11,1.25,3
U00162,charlesayala,26,1,kmyers@gmail.com,1,0.0,0.0,1.59,6,0,1,1,1.0,1
U00163,clinejacqueline,32,0,johnsonshelly@hotmail.com,1,0.0,0.0,3.45,10,2,1,1,0.0,0
U00164,james63,32,1,jessica46@outlook.com,2,0.0,0.0,3.2700000000000005,7,0,1,2,1.0,1
U00165,wcarroll,30,1,angela19@hotmail.com,4,419.82,104.955,2.995,0,2,4,4,0.5,2
U00166,campbellkelsey,33,1,hinesjoshua@gmail.com,15,248.88,16.592,3.1886666666666668,7,2,9,15,0.6666666666666666,3
U00167,rogersjohn,31,0,jonathan94@hotmail.com,1,0.0,0.0,4.94,2,1,1,1,0.0,0
U00168,gillespiekimberly,24,0,michael38@outlook.com,1,326.02,326.02,2.69,1,2,1,1,0.0,2
U00169,vasquezjohn,24,1,youngmaurice@yahoo.com,13,567.16,43.62769230769231,2.636923076923077,4,0,11,13,1.0,3
U00170,millerdavid,34,0,mark06@hotmail.com,3,0.0,0.0,2.72,9,1,3,3,0.0,0
U00171,egardner,24,1,obrienmolly@outlook.com,2,0.0,0.0,4.065,10,1,1,2,0.0,0
U00172,nglass,35,0,charleshernandez@hotmail.com,1,0.0,0.0,4.73,7,2,1,1,0.0,0
U00173,fernando38,31,1,patriciagarcia@gmail.com,14,1094.82,78.20142857142856,3.1978571428571425,0,1,10,14,0.2857142857142857,3
U00174,michelle60,29,1,sgriffith@yahoo.com,1,212.39,212.39,3.15,5,0,1,1,1.0,1
U00175,xlambert,32,0,leonardlisa@gmail.com,2,490.9,245.45,2.915,0,1,2,2,0.0,2
U00176,gary81,34,1,jameshartman@hotmail.com,1,0.0,0.0,4.68,10,1,1,1,0.0,0
U00177,torreschristine,29,0,adriana95@yahoo.com,14,1526.54,109.03857142857144,3.023571428571429,6,1,9,14,0.375,3
U00178,gonzaleslisa,20,1,robertspencer@outlook.com,14,236.72000000000003,16.90857142857143,3.54,3,1,10,14,0.6666666666666666,3
U00179,mariaavila,34,1,tpineda@outlook.com,2,487.92,243.96,2.685,1,0,2,2,1.0,1
U00180,xglenn,26,0,bruce16@hotmail.com,1,0.0,0.0,4.73,7,2,1,1,0.0,0
U00181,stephanie98,32,0,angela26@yahoo.com,1,299.57,299.57,3.74,3,1,1,1,0.0,2
U00182,nancyibarra,28,0,rmadden@gmail.com,1,0.0,0.0,4.1,6,2,1,1,0.0,0
U00183,christopherhall,33,1,virginia17@outlook.com,1,0.0,0.0,4.73,7,2,1,1,0.0,0
U00184,kroth,28,1,nrhodes@hotmail.com,1,0.0,0.0,2.38,2,0,1,1,1.0,1
U00185,jwalls,27,1,carrillomichael@outlook.com,1,57.32,57.32,4.74,11,0,1,1,1.0,1
U00186,alexbrown,28,0,nortonlisa@outlook.com,2,326.02,163.01,3.0700000000000003,1,2,2,2,0.0,2
U00187,taylor05,18,1,staceygiles@hotmail.com,1,472.28,472.28,4.74,9,1,1,1,0.0,2
U00188,robertsedward,18,1,wschmidt@gmail.com,1,0.0,0.0,1.52,4,0,1,1,1.0,1
U00189,latoya45,18,1,normangabriela@hotmail.com,1,0.0,0.0,1.59,6,0,1,1,1.0,1
U00190,hroberts,25,0,hcabrera@yahoo.com,1,487.92,487.92,3.64,1,0,1,1,1.0,2
U00191,foleypaul,34,1,jeremycole@gmail.com,12,2258.7,188.225,3.955833333333333,10,1,8,12,0.5,3
U00192,nathanieldorsey,17,1,briannarichardson@yahoo.com,14,680.0699999999999,48.576428571428565,3.440714285714286,11,1,9,14,0.5,3
U00193,stevenjames,33,1,carriedrake@yahoo.com,1,0.0,0.0,4.79,8,0,1,1,1.0,1
U00194,carolynpage,35,1,jacksonandrew@outlook.com,1,0.0,0.0,3.02,3,2,1,1,0.0,0
U00195,stewartlisa,15,1,powens@outlook.com,1,346.71,346.71,1.23,10,0,1,1,1.0,1
U00196,susan34,23,0,alexandragreen@outlook.com,1,394.26,394.26,1.35,2,2,1,1,0.0,2
U00197,parksderek,35,0,michaelwallace@hotmail.com,1,0.0,0.0,3.6,3,2,1,1,0.0,0
U00198,brian71,30,0,lewismargaret@hotmail.com,12,1242.34,103.52833333333336,3.2741666666666664,6,1,7,12,0.4285714285714285,3
U00199,millerstephanie,24,0,davisjeremy@gmail.com,1,0.0,0.0,2.43,9,2,1,1,0.0,0
U00200,ronald67,32,1,bobbymurphy@outlook.com,4,269.71,67.4275,3.4650000000000003,4,0,3,4,4.0,1
U00201,yalvarado,16,1,orosales@gmail.com,3,691.88,230.6266666666667,2.676666666666667,0,0,3,3,0.5,2
U00202,awilson,28,0,harrisrichard@yahoo.com,1,0.0,0.0,3.85,9,1,1,1,0.0,0
U00203,samantha00,25,0,ybyrd@yahoo.com,2,326.02,163.01,3.005,1,1,2,2,0.0,2
U00204,loribates,28,0,robertmitchell@gmail.com,1,0.0,0.0,1.59,6,0,1,1,1.0,1
U00205,christinecampbell,32,1,markmahoney@outlook.com,1,342.61,342.61,4.84,10,2,1,1,0.0,2
U00206,lisa94,19,0,morriscindy@outlook.com,1,89.59,89.59,2.68,0,2,1,1,0.0,0
U00207,evelyn98,33,1,carsonjamie@yahoo.com,2,177.34,88.67,2.585,5,0,2,2,0.5,1
U00208,kingrobin,18,0,jamesholt@yahoo.com,15,507.62,33.84133333333333,3.1533333333333338,3,1,10,15,0.75,3
U00209,parkssarah,26,1,padillakathy@hotmail.com,1,0.0,0.0,3.15,1,0,1,1,1.0,1
U00210,mscott,30,1,umitchell@hotmail.com,2,37.89,18.945,1.515,7,0,2,2,1.0,1
U00211,maryspencer,22,1,amandabrown@gmail.com,1,0.0,0.0,4.68,10,1,1,1,0.0,0
U00212,mike97,30,0,loriknight@yahoo.com,2,0.0,0.0,4.265,9,1,2,2,0.0,0
U00213,susan03,15,1,serranotammy@hotmail.com,2,299.57,149.785,4.23,3,1,2,2,0.0,2
U00214,danielle41,24,0,annaparker@gmail.com,1,89.59,89.59,2.68,0,2,1,1,0.0,0
U00215,sandra29,28,1,hatfieldmark@hotmail.com,1,326.02,326.02,2.69,1,2,1,1,0.0,2
U00216,taylorelizabeth,23,1,peckamy@outlook.com,16,1405.87,87.866875,3.545625,9,1,10,16,0.5,3
U00217,garychandler,28,1,carla25@outlook.com,1,37.89,37.89,1.3,11,0,1,1,1.0,1
U00218,gregory81,15,0,lisa37@hotmail.com,1,0.0,0.0,4.72,8,2,1,1,0.0,0
U00219,daniellebishop,23,0,josephlawrence@outlook.com,1,0.0,0.0,4.51,4,1,1,1,0.0,0
U00220,laura88,20,1,dlewis@hotmail.com,15,300.35,20.02333333333333,3.6286666666666663,9,1,11,15,0.4444444444444444,3
U00221,lgallagher,27,1,youngtammy@gmail.com,1,0.0,0.0,4.45,4,0,1,1,1.0,1
U00222,bentonkatrina,28,1,flowe@outlook.com,1,0.78,0.78,3.89,7,0,1,1,1.0,1
U00223,patricia65,35,0,yolandaglenn@outlook.com,1,0.0,0.0,4.1,6,2,1,1,0.0,0
U00224,denisebailey,15,0,devin32@gmail.com,1,490.9,490.9,4.55,0,1,1,1,0.0,2
U00225,sheila72,18,1,fpark@yahoo.com,1,0.0,0.0,4.1,6,2,1,1,0.0,0
U00226,marioperez,34,0,jdougherty@hotmail.com,1,346.71,346.71,1.23,10,0,1,1,1.0,1
U00227,victoria90,23,1,alyssahoward@gmail.com,2,0.0,0.0,4.305,4,1,2,2,0.0,0
U00228,joshuarangel,18,1,jaredpeters@yahoo.com,1,117.68,117.68,2.57,3,0,1,1,1.0,1
U00229,charles00,22,1,nielsenelizabeth@gmail.com,2,0.0,0.0,2.73,3,0,2,2,0.5,1
U00230,karen41,17,0,swansonlisa@hotmail.com,2,119.04,59.52,3.595,5,1,2,2,0.0,0
U00231,rodgersdaniel,16,1,richard17@hotmail.com,2,213.17,106.585,3.52,5,0,2,2,2.0,1
U00232,timothywatkins,26,0,lisarodriguez@yahoo.com,1,0.0,0.0,2.38,2,0,1,1,1.0,1
U00233,robinsonmichael,32,1,virginiataylor@outlook.com,1,119.04,119.04,2.75,6,2,1,1,0.0,0
U00234,emily05,32,1,whuynh@outlook.com,2,326.02,163.01,3.74,1,0,2,2,1.0,1
U00235,williamscharles,34,1,joneschristopher@outlook.com,3,472.28,157.42666666666665,3.856666666666667,9,1,2,3,0.3333333333333333,0
U00236,colin32,25,0,vmora@yahoo.com,1,394.26,394.26,1.35,2,2,1,1,0.0,2
U00237,anthony70,20,1,meghan00@gmail.com,1,0.0,0.0,3.15,1,0,1,1,1.0,1
U00238,joshuaescobar,24,0,isaiahwest@outlook.com,15,1872.92,124.86133333333332,3.1626666666666665,1,1,10,15,0.75,3
U00239,vberg,32,0,angelagonzalez@outlook.com,1,0.0,0.0,4.44,5,1,1,1,0.0,0
U00240,ismith,34,0,sullivansean@hotmail.com,2,0.0,0.0,3.33,1,0,2,2,1.0,1
U00241,thomascummings,23,0,brandyjones@yahoo.com,2,0.0,0.0,4.2700000000000005,2,1,2,2,0.0,0
U00242,wernerjesus,27,1,joe20@gmail.com,2,266.93,133.465,3.285,0,0,2,2,1.0,1
U00243,thomastimothy,24,0,upennington@gmail.com,1,177.34,177.34,3.89,5,0,1,1,1.0,1
U00244,josemartinez,28,1,rebeccalamb@outlook.com,1,276.37,276.37,2.72,4,0,1,1,1.0,1
U00245,twilson,31,0,kimberly44@gmail.com,1,0.0,0.0,4.14,6,1,1,1,0.0,0
U00246,william30,31,1,jennifer12@gmail.com,1,472.28,472.28,4.74,9,1,1,1,0.0,2
